Date,CS,Art,Bio,Sports,Phy,Philosophy,Chem,Math
20220306,235.0714170302149,175.45567047558828,201.0746282484829,241.3298117789921,194.70133148542297,258.50763579113095,182.53176289566238,177.6897195468624
20220307,268.2977863952173,177.483130843232,220.2195302728494,223.6743169398907,223.3920704845815,277.13550249278404,210.83777842907386,215.014256014256
20220308,307.91068023913397,172.304548123391,218.31616250521148,204.98172434729813,216.46710884522102,270.3447913933351,207.1040445486518,215.40103525817813
20220309,273.5088059460333,172.95320897881757,222.68939639597906,198.87207043108683,230.1977429094689,275.0956179480451,211.9769563305979,219.66421994993425
20220310,274.509678461787,178.06165033196334,219.7453096771205,194.92361870066787,229.58916992525863,273.884282340593,205.57942555685815,217.55042640756926
20220311,266.25755372434963,177.93500745223793,206.79344049659517,185.56709168184577,210.22575855071028,261.71141432694833,191.042203985932,201.21893164750307
20220312,234.20119566973662,171.01811119642292,191.41460138046045,196.98846387370978,179.06805919912884,244.58021516662293,171.0617672919109,170.00453986168273
20220313,239.03438358377767,180.2063592430333,199.4625932274054,208.96029143897997,189.21813592040786,261.0178955654684,178.20977432590857,180.72031057745343
20220314,272.97143318791404,183.26995167336617,219.76587761152547,200.00115361262903,223.32990149977726,285.53613224875363,205.07927901524033,228.4226314226314
20220315,273.6945225399903,178.0339189738494,218.3455783573447,193.322890103218,217.9218432906004,279.63983206507476,203.57836313012896,217.9450973736688
20220316,263.57262885765067,180.2946118061515,215.96131931254922,194.0910746812386,210.8836806414889,269.18682760430335,194.99380861664713,210.4494038779753
20220317,256.08188721925995,168.00185176821282,207.40774540232547,187.00388585306618,200.82032371429986,269.86990291262134,188.76285902696367,200.20832449403878
20220318,245.16115689125868,163.98355991147645,193.02103117617085,187.8381299332119,184.1334455278919,253.23626344791393,175.7737763774912,185.90826933684076
20220319,218.97805784456293,159.85642021588907,184.3505350442396,198.52811171827565,163.50586546552492,235.02456048281292,164.43123534583822,160.80767109338538
20220320,232.0101470350622,171.15170949821598,197.6367258071988,226.68913175470553,177.32638717022223,251.254841249016,176.489046014068,172.29882472739615
20220321,274.8377443851995,188.50264215708415,220.5768286468708,222.34086217364907,220.0322724347869,275.4959328260299,197.94889361078546,210.7963426534855
20220322,278.1567943124899,192.18305406259879,220.4511974799648,204.98178506375228,226.96554967084097,289.50553660456575,201.9546453692849,214.2504136789851
20220323,284.67031830667315,205.53845806422476,224.4765368045583,202.3738919247116,244.0918675444241,291.32537391760695,206.16328399765533,219.34965420679706
20220324,278.34564550008076,184.4592836818572,219.78778894705147,218.9174863387978,214.43018363609366,280.5670952505904,200.27780627198123,214.61729390300817
20220325,254.08137017288738,172.5490266925613,203.15995738175755,229.66915604128718,192.91031034994802,253.35355549724483,183.85653575615476,194.94017565446137
20220326,220.32014865083212,159.94842148051126,185.83054616204197,210.0250758955677,160.11993268326486,234.74683810023615,163.62917643610785,162.61869404726548
20220327,231.7991921150428,169.97994670520754,204.046185204058,226.78409228901032,176.9669851012226,251.3719758593545,178.30484320046892,177.43875429589716
20220328,271.4688641137502,175.67548891197328,224.48399499698894,217.25421979356406,205.46428748205713,280.1303594856993,195.15115767878078,208.46285374856802
20220329,276.59625141379865,172.7692064495732,217.67318293417335,225.7772920461445,202.1027570162847,271.17328785095776,322.48600527549826,211.3904705333277
20220330,278.40371627080305,175.4614967706969,221.4921017278918,238.38111718275653,213.66891055783793,276.02860141695095,197.91170867526378,218.12321269464127
20220331,282.3155598642753,170.2988121584391,219.17853337656922,219.07838494231936,206.0343513339603,265.02482288113356,194.06828839390386,213.7274810131953
20220401,273.8002908385846,163.74454631678785,201.84814934914533,236.13302975106254,188.1396327278127,245.6652847021779,176.35638921453693,195.14090542661972
20220402,242.03519146873487,167.34266744952802,187.60605920229767,218.53254401942925,166.85625897143987,237.57286801364472,160.04279015240328,165.80559209130638
20220403,235.44152528679916,170.26701594327267,197.30036596099504,215.86873102610807,171.6707419690145,251.09734977696144,166.5331916764361,172.78251092536806
20220404,290.902698335757,184.2984508378122,220.4662991615324,215.46229508196723,206.32891154778994,279.87551823668326,194.99270955451348,216.63647163647164
20220405,285.40927451930844,174.28386251750146,220.74466113864827,208.27741347905283,207.1773498985299,278.4692206769877,196.59832942555687,218.10238024523738
20220406,284.24634028114394,183.10293121358566,228.7351183582712,207.8355798421372,218.2727812701084,285.27782734190504,201.96091002344667,223.76566676566677
20220407,278.21205364356115,177.90628246240007,225.86264881641728,209.87534911961143,208.2943127258328,275.9200734715298,197.7409876905041,216.60011031439603
20220408,262.09533042494746,169.61424506571518,207.2721545374531,198.84280510018215,189.44636935108647,257.1530307006035,186.91863276670574,196.57825957825958
20220409,229.9682339634836,165.22862562666546,190.98786306573402,209.22975106253796,165.6776716329258,239.28501705589085,166.48600527549823,193.77729220586363
20220410,237.23276781386332,181.82001716272978,203.51197479964793,234.06502732240438,182.29916349057072,259.0555234846497,174.91222157092614,179.55369341083627
20220411,271.47603813217,180.1438507745811,217.8883587344235,204.7327868852459,204.37355838241845,271.7341905011808,194.23842321219226,210.42309813738385
20220412,269.45273873000485,179.3204462309742,220.35206374206697,199.67055251973284,205.82829282779784,268.3470480188927,195.96537954279015,210.45895031609317
20220413,259.57440620455645,175.63497583668308,209.72159169870756,198.2177899210686,195.86031777458794,265.0823405930202,187.51058763188746,203.21774364631509
20220414,260.052415576022,169.78623368411544,198.17126048084495,193.90655737704918,186.96733158441816,275.34547362896876,172.71395076201642,188.80605880605881
20220415,249.0188075618032,166.73966848832484,191.64575902163338,187.30552519732848,172.17749839132802,247.47431120440828,163.76718200468935,175.31605074462217
20220416,226.13223460979157,165.5614470891107,186.03154676425626,194.86205221615057,162.4481017670643,234.53760167934925,158.1392878077374,160.08893037464466
20220417,226.0348359993537,174.55986631136804,194.0322416269051,207.6740133576199,168.8920457357818,253.3383888743112,165.03769783118406,169.05783020068733
20220418,260.2148004524156,182.46655525947338,218.85440311298467,207.95379477838495,196.08914517645894,280.2394647074259,187.84865914419694,200.65938308795452
20220419,276.64714816610115,181.74585610406035,231.7302079955529,199.30382513661203,211.12691184477552,285.329047494096,204.52146834701054,218.4407908693623
20220420,277.2269187267733,180.12610089878507,235.71408718210034,202.86806314511233,205.763203484631,277.406454998688,210.21519636576787,214.6587042301328
20220421,268.87177249959603,179.03491260557337,232.3985268911845,193.89617486338798,203.4323120328664,266.26439254788767,205.64427022274327,207.11689083117653
20220422,254.33255776377445,167.210198274694,206.16208829388057,193.86314511232544,191.14676038212147,255.630648123852,179.8476333528722,194.07891722177436
20220423,228.59825496849248,164.24700781355855,196.60772687265484,203.97984213721918,163.43414344404297,240.7756494358436,167.51791471277843,165.43777843777843
20220424,234.393698497334,172.01029763786642,207.22606198174827,221.28822100789313,173.74083056971736,254.90711099448964,176.11521834701054,174.8371589800161
20220425,294.49290677007593,179.97655932433042,224.1797378051605,216.10054644808744,210.82576845023016,281.82214641826295,197.27820926143025,212.81462938605796
20220426,322.6950395863629,172.10532496273882,220.785704359105,205.67340619307834,203.8031480473197,270.950406717397,193.32063305978897,211.78985107556537
20220427,293.5789949911133,172.33932523372928,219.1052485292074,194.55822707953857,203.33113893976142,265.14316452374703,191.91665445486518,208.6198820484535
20220428,286.1713039263209,167.98952170182017,222.5299022559874,190.83224043715848,194.79918823937038,262.64812385200736,191.00816969519343,206.07963850820994
20220429,263.8828566812086,161.9722686418861,200.4121925232779,179.19605343047965,176.3828144335,247.32978220939387,171.0002564478312,184.85430014001443
20220430,223.07015672968168,154.84932929858633,188.2210589706768,184.94140862173649,154.8471019155571,231.01721332983468,151.4321512309496,156.7785226356655
20220501,226.43648408466635,170.0934013820514,206.45342104044101,215.26332726168792,165.08647230609316,255.26853844135397,162.37650205158266,168.37799652085366
20220502,254.09920827274198,180.0726706110835,210.20906100894058,200.39186399514267,189.3238132950552,272.67341905011807,181.0568947831184,197.3843183843184
20220503,263.57133624171917,179.25789259744366,215.23375179506183,207.0173649058895,193.27198930851853,285.0440304382052,186.34759671746775,206.60227417370274
20220504,270.70967846178706,183.14114086987942,234.9602538564877,220.99277474195506,208.18071573528684,304.9450013119916,197.8858074443142,214.42585599728457
20220505,261.1676846017127,169.24574319136443,216.13610043081485,199.12720097146325,194.26199079344653,273.503647336657,186.36968786635404,204.45008273579703
20220506,244.16484084666342,157.3931168420577,206.7569833696206,182.9013357619915,178.207889917339,254.31687221201784,172.1917130715123,187.25724468581612
20220507,218.33452900306997,162.55331737500563,200.2842914717191,199.29016393442623,161.09721328515568,242.42361584885856,157.67416471277843,160.80304637447495
20220508,219.4981418645985,160.23598753443838,229.63278825218882,215.65239829993928,175.7325149730238,269.7688270795067,159.89470984759672,168.18677075819932
20220509,258.01534981418644,168.40567273384218,220.30291379070738,202.0541590771099,199.748750185616,271.50716347415374,186.8203033411489,202.48809877381305
20220510,269.62494748747775,179.77042590668896,225.62129985639504,199.23108682452946,207.1661634410731,281.2581474678562,193.96446365767878,210.60316517459376
20220511,263.1565681047019,169.14543155232374,214.8989669708621,195.40157862780814,201.61956145126962,266.78661768564683,187.16170867526378,206.35054520768807
20220512,259.59072548069156,166.25951854026468,207.77472552925371,187.66017000607164,200.07909716378757,259.64208869063236,181.68464243845253,204.0753956468242
20220513,248.3097430925836,164.86093672372522,202.3456246815213,193.635883424408,189.2033361381973,249.877827341905,172.2297772567409,188.33705290848147
20220514,212.01725642268542,158.36231425861524,183.13841663964422,198.86527018822102,161.524922041281,229.72605615324062,150.47047186400937,156.3008613008613
20220515,220.0421392793666,165.28986947292353,194.53240376152314,216.43491196114147,169.22363015393753,244.8721070585148,159.43632766705744,164.13903856761
20220516,261.7984811762805,171.71862156180842,216.61421225737712,211.12884031572557,202.60184131069644,268.36630805562845,184.41123241500586,201.66447452161736
20220517,263.2086282113427,165.76437378618851,214.54060314077918,194.35944140862173,195.1324060783052,262.057255313566,185.2107268464244,202.74933174933176
20220518,263.9596380675392,177.1557743552685,224.48858109047111,199.4035822707954,208.35940206899966,327.4763579113094,185.48629835873388,218.35788535788535
20220519,257.8594603328486,167.23088388058352,210.8028443044425,190.11748633879782,190.49814384002377,266.8274993440042,179.73772713950763,203.3114684543256
20220520,244.35740830505736,156.7864143444289,198.43368694121463,182.2097753491196,176.61782903529178,241.37811598005771,168.0447318288394,183.6935805507234
20220521,214.59428017450315,152.2693193622691,182.43368694121463,193.02902246508805,158.83933079245656,221.20771451062714,151.22171746776084,155.0820569391998
20220522,215.6985942801745,166.06011471929904,194.9678046972715,212.1605343047966,164.26278275503637,236.7328260299134,159.13987397420868,167.42386185243328
20220523,254.55992890612376,167.01219457115758,217.37156622041044,207.05737704918033,191.21991783398505,258.750406717397,184.31392878077375,197.76558190843906
20220524,262.5315236710292,161.81008084549026,226.83290869504793,210.14128718882816,193.19898034945305,258.186302807662,183.9238716295428,200.49115363401077
20220525,262.1059945063823,163.83876067024977,244.36651688516235,263.7897389192471,193.51853685096273,259.7979008134348,180.79110492379837,200.4620900335186
20220526,260.71549523347875,172.8899778691116,230.34492981887246,240.58123861566486,197.81824481512646,262.90963001836786,184.83041471277843,201.90954219525648
20220527,239.92383260623689,155.82448850548755,201.35942928614443,221.21311475409837,173.56580705835768,234.64828129099973,163.21329132473622,176.8092409520981
20220528,215.77175634189692,153.18851903708054,185.3928753416408,234.93855494839102,156.4992822848092,221.34982944109157,150.77275058616647,153.18426746998176
20220529,217.1562772661173,161.5933787995122,193.36350581368416,246.51554341226472,160.62921348314606,234.0811335607452,156.32294109026964,157.37311723026008
20220530,270.30631766036515,170.96386793731088,208.40806967156158,225.73855494839103,187.6325298223036,249.91099448963527,175.80865328253225,217.46807246807248
