Date,de,en,es,fr,CS
20200901,218.81922723091077,763.9172686618507,585.9142857142857,166.77024221453289,
20200902,214.80266789328428,775.3694530443756,590.9219047619048,175.71626297577853,
20200903,207.9742410303588,746.2261781905745,580.4285714285714,180.01937716262975,
20200904,190.92778288868445,725.6056071551427,570.9542857142857,196.6235294117647,
20200905,198.65823367065317,739.1633986928105,494.0438095238095,191.078892733564,
20200906,234.72447102115916,783.1059511523907,525.9380952380952,214.83529411764707,
20200907,225.51609935602576,792.3157894736842,596.192380952381,240.44152249134947,
20200908,228.80496780128794,785.2475060199519,628.9152380952381,200.95640138408305,
20200909,219.60533578656853,785.8548331613347,628.8647619047618,211.2892733564014,
20200910,206.80358785648573,782.2932576539388,611.6380952380953,192.62768166089964,
20200911,198.28794848206073,811.6738906088751,619.552380952381,178.2,
20200912,200.40110395584176,803.3930168558652,513.8257142857143,198.88166089965398,
20200913,231.21711131554738,890.4871001031992,653.9266666666666,261.53217993079585,
20200914,221.49724011039558,871.4401444788442,661.8428571428572,210.05743944636677,
20200915,233.11821527138915,809.5228758169935,652.2761904761904,205.03806228373702,
20200916,225.7276908923643,784.6988304093567,596.5266666666666,218.66297577854672,
20200917,215.51425942962283,800.5887512899897,646.1704761904762,196.3439446366782,
20200918,199.18997240110394,813.0333677330582,626.2628571428571,186.47058823529412,
20200919,191.95446182152713,830.9284485724114,522.4,206.44498269896195,
20200920,225.50091996320148,826.8704850361197,597.3285714285714,257.3031141868512,
20200921,235.23873045078196,849.7246302029583,645.8609523809524,212.0871972318339,
20200922,225.40202391904324,796.5113519091848,654.8961904761904,199.84498269896193,
20200923,305.83578656853723,788.1033711730306,660.172380952381,208.0401384083045,
20200924,219.4015639374425,769.8627450980392,663.6914285714286,201.9757785467128,
20200925,208.4806807727691,765.8973168214654,623.34,202.37162629757785,
20200926,225.73735050597975,765.0438596491229,521.3342857142857,205.4069204152249,
20200927,237.6701931922723,800.6023391812865,560.9228571428572,235.74671280276817,
20200928,228.6752529898804,794.9083247334021,665.4419047619048,207.77785467128027,
20200929,225.18583256669734,783.6346749226007,682.8314285714285,202.3584775086505,
20200930,222.33946642134313,757.2566219470244,680.6952380952381,224.01107266435986,
20201001,226.6048758049678,740.1465428276574,654.0819047619048,205.21799307958477,
20201002,205.17479300827966,743.2681458548332,612.6123809523809,190.93356401384082,
20201003,229.5510579576817,748.8971448228414,522.24,197.94671280276816,
20201004,237.75160993560257,785.3023735810114,540.5133333333333,228.25190311418686,
20201005,224.93192272309108,793.2260061919504,638.9342857142857,209.2401384083045,
20201006,241.67065317387303,783.5739594083248,643.4885714285714,213.51833910034603,
20201007,227.34590616375345,810.8460612315101,667.9342857142857,217.2318339100346,
20201008,225.2902483900644,802.4043687650499,669.3352380952381,203.41384083044983,
20201009,211.36982520699172,827.5906432748538,619.7390476190476,203.7349480968858,
