Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
bool,35.96,33.49,31.14,30.53,48.98,51.06,41.991101223581765
leone,28.47,30.58,36.8,38.86,40.82,40.31,41.587636108184064
depression,155.82,183.46,193.9,202.63,219.06,220.36,41.419586702605585
rescue,112.37,117.94,137.28,149.89,152.39,158.55,41.09637803684258
vocals,10.49,13.1,12.74,12.49,12.25,14.78,40.89609151572925
gardening,10.49,11.65,14.15,15.27,13.61,14.78,40.89609151572925
trash,10.49,11.65,12.74,13.88,13.61,14.78,40.89609151572925
indianapolis,20.98,26.21,28.31,29.14,28.57,29.56,40.89609151572925
blond,10.49,10.19,12.74,15.27,14.97,14.78,40.89609151572925
nurses,10.49,10.19,9.91,11.1,13.61,14.78,40.89609151572925
allah,20.98,36.4,35.38,33.31,31.29,29.56,40.89609151572925
acer,10.49,14.56,14.15,13.88,14.97,14.78,40.89609151572925
seeking,286.18,327.61,339.67,351.13,372.81,403.1,40.85540568872738
nc,65.93,64.07,86.33,90.21,89.8,92.71,40.61883816168662
ada,65.93,77.17,76.43,94.37,91.16,92.71,40.61883816168662
lottery,130.35,148.52,179.74,184.58,183.68,182.74,40.19179133103185
dresses,13.48,14.56,15.57,15.27,17.69,18.81,39.54005934718099
cabinets,13.48,16.02,18.4,18.04,19.05,18.81,39.54005934718099
gzip,13.48,14.56,19.81,20.82,17.69,18.81,39.54005934718099
loud,26.97,27.66,33.97,37.47,36.74,37.62,39.48832035595105
olympics,106.38,104.83,113.22,113.8,115.65,147.8,38.935890204925755
pins,106.38,113.57,110.39,104.09,285.73,147.8,38.935890204925755
orlando,95.89,96.1,87.75,88.82,131.98,133.02,38.721451663364284
motorcycle,16.48,17.47,18.4,18.04,21.77,22.84,38.592233009708735
nvidia,190.29,196.56,208.05,237.32,240.83,263.36,38.399285301382115
ate,35.96,50.96,49.54,48.57,48.98,49.72,38.26473859844271
lit,71.92,91.73,103.32,104.09,96.6,99.43,38.25083426028922
romance,58.43,69.89,72.18,73.56,74.83,80.62,37.977066575389365
cheat,19.48,23.3,22.64,26.37,25.85,26.87,37.93634496919918
champagne,22.47,21.84,21.23,20.82,25.85,30.9,37.516688918558074
runner,89.9,94.64,104.73,115.19,121.1,123.62,37.5083426028921
judicial,44.95,45.14,43.87,47.19,54.42,61.81,37.5083426028921
afraid,25.47,29.12,29.72,34.7,34.02,34.94,37.18099725166863
paraguay,25.47,26.21,24.06,23.59,35.38,34.94,37.18099725166863
walt,164.81,179.09,212.29,219.28,236.75,225.74,36.96984406286027
agrees,139.34,147.06,155.68,163.77,171.44,190.8,36.93124730874121
dispatch,119.87,135.41,155.68,154.05,163.27,163.93,36.75648619337616
sh,62.93,68.43,66.52,74.94,74.83,86.0,36.65978070872398
sd,94.39,106.29,123.13,130.46,127.9,128.99,36.65642546879967
zoom,94.39,107.75,108.98,129.07,125.18,128.99,36.65642546879967
feelings,103.38,112.11,117.47,131.85,142.87,141.09,36.47707486941382
oo,34.46,34.94,35.38,52.74,46.26,47.03,36.47707486941381
mills,241.23,345.08,336.84,335.86,331.99,329.2,36.46727189818845
blame,37.46,39.31,42.46,44.41,48.98,51.06,36.30539241857982
hawaiian,37.46,40.77,39.63,47.19,46.26,51.06,36.30539241857982
archived,124.36,135.41,165.59,158.21,171.44,169.3,36.13702155033774
colonial,107.88,113.57,123.13,127.68,142.87,146.46,35.76195773081203
dennis,224.75,314.5,309.95,305.33,302.06,305.01,35.71078976640712
dome,91.4,97.55,86.33,102.7,122.46,123.62,35.25164113785558
memories,181.3,180.55,196.73,216.5,238.11,244.55,34.8869277440706
veterinary,14.98,14.56,15.57,18.04,17.69,20.16,34.57943925233645
merry,14.98,14.56,16.98,16.65,20.41,20.16,34.57943925233645
heater,14.98,14.56,15.57,15.27,20.41,20.16,34.57943925233645
cartridges,5.99,5.82,5.66,8.33,8.16,8.06,34.55759599332221
gamecube,5.99,5.82,5.66,6.94,8.16,8.06,34.55759599332221
jacksonville,5.99,5.82,5.66,5.55,6.8,8.06,34.55759599332221
slideshow,5.99,5.82,7.08,6.94,6.8,8.06,34.55759599332221
cayman,5.99,5.82,5.66,6.94,9.52,8.06,34.55759599332221
mug,5.99,7.28,7.08,8.33,8.16,8.06,34.55759599332221
tripadvisor,5.99,5.82,7.08,8.33,8.16,8.06,34.55759599332221
sapphire,5.99,7.28,7.08,8.33,8.16,8.06,34.55759599332221
rap,23.97,29.12,26.89,30.53,31.29,32.25,34.543178973717154
repairs,17.98,20.38,22.64,22.21,24.49,24.19,34.53837597330367
halloween,17.98,20.38,19.81,20.82,23.13,24.19,34.53837597330367
ebay,17.98,17.47,21.23,23.59,29.93,24.19,34.53837597330367
salvador,32.96,34.94,36.8,44.41,44.9,44.34,34.52669902912622
drunk,26.97,27.66,29.72,29.14,31.29,36.28,34.519836855765675
knock,26.97,30.58,33.97,37.47,38.1,36.28,34.519836855765675
fake,143.84,155.8,161.34,165.15,179.6,193.49,34.51751946607342
wyoming,41.95,42.22,43.87,48.57,55.79,56.43,34.51728247914183
applicants,116.87,131.04,140.11,152.66,157.83,157.21,34.516984683836746
divorce,47.95,56.79,59.44,61.07,68.03,64.5,34.51511991657976
plaza,35.96,50.96,50.95,48.57,47.62,48.37,34.510567296996655
fruits,56.94,61.15,59.44,58.29,77.56,76.59,34.51001053740781
sunshine,20.98,20.38,22.64,22.21,21.77,28.22,34.509056244041936
ballet,38.96,48.05,48.12,45.8,51.7,52.4,34.496919917864474
enquiries,8.99,11.65,11.32,11.1,12.25,12.09,34.48275862068965
mustang,8.99,10.19,9.91,12.49,10.88,12.09,34.48275862068965
fares,8.99,17.47,9.91,11.1,10.88,12.09,34.48275862068965
webcam,8.99,8.74,8.49,12.49,12.25,12.09,34.48275862068965
bother,11.99,13.1,12.74,16.65,16.33,16.12,34.44537114261885
prairie,11.99,13.1,15.57,15.27,14.97,16.12,34.44537114261885
redeem,11.99,14.56,15.57,12.49,16.33,16.12,34.44537114261885
madagascar,11.99,14.56,18.4,18.04,16.33,16.12,34.44537114261885
breasts,3.0,4.37,4.25,4.16,4.08,4.03,34.33333333333334
charger,3.0,2.91,2.83,2.78,2.72,4.03,34.33333333333334
deviant,3.0,4.37,4.25,5.55,4.08,4.03,34.33333333333334
tions,3.0,2.91,4.25,4.16,4.08,4.03,34.33333333333334
waterproof,3.0,2.91,2.83,4.16,4.08,4.03,34.33333333333334
boating,3.0,4.37,4.25,4.16,4.08,4.03,34.33333333333334
mariah,3.0,2.91,2.83,2.78,4.08,4.03,34.33333333333334
thong,3.0,2.91,4.25,4.16,4.08,4.03,34.33333333333334
