Word,2020-01-01,2021-01-01,2022-01-01,f_star,revised,r
prospects,5.65e-06,5.49e-06,4.62e-06,5.57e-06,7.96e-06,0.72294372
lexmark,0.0,0.0,0.0,0.0,0.0,
cleaners,0.0,0.0,0.0,0.0,0.0,
bulgarian,1.381e-05,1.282e-05,1.231e-05,1.332e-05,1.167e-05,-0.05199025
hwy,0.0,0.0,0.0,0.0,0.0,
eternal,8.16e-06,7.93e-06,8.21e-06,8.05e-06,8.49e-06,0.03410475
cashiers,0.0,0.0,0.0,0.0,0.0,
guam,1.444e-05,1.282e-05,1.282e-05,1.363e-05,1.432e-05,0.11700468
cite,3.14e-06,2.44e-06,3.59e-06,2.79e-06,2.65e-06,-0.26183844
aboriginal,2.7e-05,2.685e-05,2.411e-05,2.692e-05,2.387e-05,-0.00995438
remarkable,9.42e-06,7.93e-06,8.72e-06,8.68e-06,0.00013688,14.69724771
rotation,1.695e-05,1.648e-05,1.898e-05,1.671e-05,1.91e-05,0.00632244
nam,6.3e-07,6.1e-07,5.1e-07,6.2e-07,5.3e-07,0.03921569
preventing,1.695e-05,1.587e-05,1.539e-05,1.641e-05,2.6e-05,0.68940871
productive,1.381e-05,1.404e-05,1.333e-05,1.392e-05,9.02e-06,-0.32333083
boulevard,1.193e-05,1.099e-05,1.18e-05,1.146e-05,1.22e-05,0.03389831
eugene,1.695e-05,1.648e-05,1.385e-05,1.671e-05,1.326e-05,-0.04259928
ix,2.574e-05,2.319e-05,2.205e-05,2.447e-05,2.228e-05,0.01043084
gdp,1.88e-06,3.05e-06,1.539e-05,2.47e-06,1.645e-05,0.06887589
pig,1.193e-05,1.16e-05,1.026e-05,1.177e-05,1.008e-05,-0.01754386
metric,6.28e-06,4.88e-06,6.15e-06,5.58e-06,6.9e-06,0.12195122
compliant,6.3e-07,6.1e-07,1.03e-06,6.2e-07,1.06e-06,0.02912621
minus,1.26e-06,6.1e-07,1.03e-06,9.3e-07,1.59e-06,0.54368932
penalties,1.005e-05,1.099e-05,1.077e-05,1.052e-05,1.539e-05,0.42896936
bennett,1.946e-05,2.258e-05,2.052e-05,2.102e-05,1.963e-05,-0.04337232
