Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
title,175.0,177.04,177.43,178.23,176.33,180.35
description,52.0,51.14,50.83,49.98,49.08,48.45
non,113.0,119.01,113.17,115.99,114.52,116.65
k,93.0,90.49,88.24,82.04,80.89,79.86
y,46.0,47.21,45.08,44.32,42.72,42.17
insurance,23.0,23.6,23.98,23.57,22.72,25.12
another,131.0,127.86,132.35,130.13,121.8,120.24
why,29.0,28.52,27.81,27.35,26.36,26.02
shall,14.0,13.77,13.43,14.14,14.54,14.36
property,48.0,47.21,47.95,47.15,47.26,47.56
class,92.0,90.49,92.07,89.58,86.35,96.01
cd,87.0,84.58,86.32,82.98,81.8,80.76
still,124.0,122.94,125.64,120.7,121.8,117.54
money,127.0,121.96,118.93,115.99,116.34,112.16
quality,20.0,19.67,20.14,18.86,34.54,34.1
every,72.0,71.8,74.81,75.44,73.62,73.58
listing,46.0,47.21,44.12,43.38,39.99,38.58
content,22.0,23.6,19.18,18.86,20.0,19.74
country,128.0,125.89,121.8,121.65,123.61,120.24
private,65.0,67.86,68.1,69.78,71.8,69.99
little,91.0,91.47,92.07,91.47,88.17,86.14
visit,16.0,17.7,14.39,14.14,13.63,17.95
save,20.0,19.67,20.14,20.75,22.72,23.33
tools,5.0,4.92,6.71,6.6,6.36,7.18
low,62.0,64.91,70.97,68.84,68.17,67.3
reply,3.0,2.95,2.88,2.83,1.82,1.79
customer,7.0,6.88,6.71,6.6,5.45,6.28
december,337.0,334.4,339.52,337.59,352.66,343.66
compare,2.0,1.97,1.92,1.89,2.73,2.69
movies,5.0,5.9,5.75,5.66,6.36,6.28
include,144.0,146.55,143.86,142.39,145.43,148.05
college,286.0,286.21,281.97,273.47,269.04,270.98
value,33.0,32.46,37.4,38.66,37.27,35.89
article,44.0,47.21,41.24,37.72,37.27,36.79
york,337.0,319.65,315.54,312.13,310.85,305.97
man,152.0,152.45,159.21,151.82,145.43,145.36
card,11.0,10.82,10.55,10.37,11.82,11.66
jobs,15.0,14.75,15.35,15.09,15.45,15.25
provide,38.0,44.26,41.24,38.66,40.9,41.28
j,176.0,164.25,168.8,167.85,159.97,153.44
food,67.0,63.93,59.46,65.07,77.26,73.58
source,78.0,77.7,80.56,78.27,76.35,73.58
author,73.0,73.77,74.81,71.67,69.08,68.19
different,91.0,90.49,96.87,92.41,94.53,96.01
press,139.0,140.65,138.11,134.85,129.98,128.31
u,242.0,239.98,233.06,245.18,239.05,238.68
learn,14.0,12.79,12.47,12.26,12.72,12.56
sale,19.0,16.72,16.3,16.03,17.27,16.15
around,152.0,153.43,158.25,161.25,163.61,165.1
print,13.0,11.8,12.47,12.26,12.72,12.56
course,73.0,71.8,67.14,66.95,65.44,64.6
job,55.0,55.08,53.71,52.81,50.9,51.15
canada,98.0,100.32,93.99,98.07,97.25,96.91
process,54.0,53.11,53.71,52.81,51.81,52.04
teen,4.0,5.9,4.8,4.71,4.54,4.49
room,49.0,51.14,52.75,50.92,55.44,54.73
stock,30.0,30.49,29.73,29.23,29.09,28.71
training,53.0,61.96,61.38,57.52,57.26,56.53
too,50.0,46.23,46.04,44.32,42.72,40.38
credit,33.0,33.44,31.65,31.12,30.9,30.51
point,78.0,78.68,77.69,78.27,79.08,80.76
join,33.0,32.46,31.65,31.12,30.9,30.51
science,113.0,122.94,119.89,118.82,115.43,113.96
men,180.0,165.23,179.35,176.34,203.6,201.89
categories,11.0,10.82,10.55,9.43,10.0,9.87
advanced,25.0,25.57,25.9,25.46,24.54,25.12
west,261.0,259.65,259.91,264.98,269.04,261.11
sales,34.0,31.47,27.81,26.4,27.27,26.92
look,34.0,32.46,33.57,31.12,31.81,31.4
english,141.0,147.53,146.74,142.39,142.7,142.67
left,269.0,254.74,258.0,271.58,259.95,262.01
team,489.0,482.92,484.34,496.02,499.0,499.79
estate,16.0,16.72,16.3,16.03,20.0,19.74
box,29.0,32.46,29.73,27.35,26.36,26.02
conditions,27.0,26.56,28.77,28.29,27.27,26.92
select,35.0,34.42,30.69,33.0,31.81,30.51
windows,13.0,12.79,14.39,14.14,30.9,30.51
photos,18.0,13.77,13.43,12.26,11.82,11.66
gay,28.0,27.54,27.81,28.29,27.27,26.92
thread,6.0,5.9,5.75,5.66,5.45,5.38
week,85.0,95.4,92.07,93.36,93.62,91.52
category,104.0,90.49,84.4,76.38,74.53,74.47
note,18.0,19.67,23.02,23.57,22.72,20.64
live,93.0,97.37,92.07,93.36,90.89,91.52
large,103.0,103.27,102.62,106.56,107.25,107.67
gallery,63.0,63.93,64.26,66.95,66.35,69.09
table,80.0,81.63,82.48,80.15,78.17,77.17
register,39.0,41.31,38.36,38.66,39.08,38.58
however,202.0,199.66,202.37,194.26,198.14,199.2
june,316.0,325.55,318.42,307.42,310.85,313.15
october,326.0,327.52,333.76,322.5,330.85,340.07
november,339.0,342.27,342.4,339.48,350.84,350.84
market,44.0,42.29,44.12,43.38,43.63,43.97
library,553.0,544.88,533.26,529.96,512.63,507.86
really,13.0,12.79,12.47,14.14,13.63,13.46
action,59.0,60.98,77.69,74.5,75.44,75.37
start,72.0,74.75,72.89,69.78,67.26,68.19
series,361.0,363.91,355.82,356.45,348.12,346.35
model,72.0,60.98,57.55,58.47,54.54,54.73
features,45.0,42.29,39.32,40.55,42.72,42.17
air,97.0,101.3,113.17,109.39,109.07,109.47
industry,66.0,62.95,68.1,68.84,68.17,67.3
plan,35.0,40.33,41.24,41.49,44.54,43.07
